id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,pitch_var,weight_var
3DamFFqW32WihKkTVlwTYQ,0.591,0.649,3,-6.72,1,0.0417,0.0294,0,0.133,0.489,90.002,228347,4,14.75683267,0.082017304
15pu8u4n3q4BKl4tF20c5v,0.632,0.789,11,-6.61,0,0.0557,0.00043,0.00144,0.356,0.35,98.986,274213,4,13.19791908,0.022298342
7ksYJ95P5vP87A0GH34CIk,0.442,0.83,9,-4.02,1,0.146,0.128,0,0.129,0.578,89.338,215747,4,14.26031958,0.019720535
3PfeAZbfD134dO6OiLDA2Y,0.464,0.756,1,-6.094,1,0.034,0.0413,0,0.124,0.0914,180.094,237987,4,11.49976682,0.023852435
4fIWvT19w9PR0VVBuPYpWA,0.615,0.733,8,-4.808,1,0.0335,0.152,0,0.109,0.796,122.58,244587,4,11.47611054,0.070461772
2GblQ918RbkOs4Yo1Rpkcj,0.727,0.76,8,-5.114,1,0.0297,0.13,0,0.0584,0.54,104.941,228141,4,15.40405858,0.020672322
0IkKz2J93C94Ei4BvDop7P,0.75,0.727,5,-4.21,0,0.142,0.0189,0,0.266,0.359,129.993,262173,4,4.80977183,0.018046646
4lCv7b86sLynZbXhfScfm2,0.638,0.826,8,-4.968,1,0.0479,0.139,0,0.0803,0.649,124.072,227880,4,14.87595274,0.027050598
4z8ssgZfs5TzKiO8HaGWXO,0.603,0.872,5,-5.404,0,0.0792,0.0213,0,0.366,0.691,150.104,206373,4,10.68833206,0.019356518
4QNpBfC0zvjKqPJcyqBy9W,0.671,0.939,8,-3.206,1,0.161,0.192,0,0.298,0.529,129.023,252307,4,14.03811052,0.017685904
2tJulUYLDKOg9XrtVkMgcJ,0.706,0.558,2,-7.237,0,0.0593,0.146,0,0.118,0.227,110.443,223253,4,11.05371351,0.034866117
7AqISujIaWcY3h5zrOqt5v,0.696,0.875,0,-3.682,1,0.0649,0.134,0,0.159,0.772,127.39,222733,4,11.9564332,0.018866832
7gKIt3rDGIMJDFVSPBnGmj,0.721,0.867,11,-4.302,1,0.196,0.29,2.87E-06,0.503,0.639,127.033,200013,4,11.08344962,0.010586306
7LcfRTgAVTs5pQGEQgUEzN,0.722,0.758,11,-4.477,0,0.0471,0.0111,0,0.308,0.62,128.047,201160,4,19.53030571,0.012903132
3JA9Jsuxr4xgHXEawAdCp4,0.483,0.648,0,-8.651,0,0.327,0.187,0,0.0812,0.242,93.939,219427,4,13.73294066,0.026310133
0Oe49j06Bjrxs8PltuVeaW,0.758,0.686,11,-6.346,1,0.0792,0.0848,0.00127,0.142,0.444,130.007,230907,4,14.51365151,0.01759129
08Bfk5Y2S5fCxgxk371Eel,0.758,0.685,1,-4.988,1,0.0431,0.0125,0.000154,0.198,0.813,127.966,243533,4,16.84049057,0.018575709
455AfCsOhhLPRc68sE01D8,0.649,0.815,3,-3.796,0,0.0415,0.00125,4.31E-05,0.671,0.765,126.03,230747,4,15.56938128,0.01272344
3rDFqo8yv93PtTmdOYOPzX,0.674,0.87,5,-4.688,0,0.0452,0.0283,6.30E-06,0.145,0.26,125.943,231653,4,9.47400275,0.026773001
12lZTPlXwUtrQuhEty6098,0.7,0.695,7,-4.973,1,0.0897,0.00629,0,0.0319,0.633,122.028,203333,4,15.24685715,0.051216064
6r2BECwMgEoRb5yLfp0Hca,0.587,0.828,11,-5.108,1,0.161,0.00327,0,0.331,0.494,123.907,260253,4,14.9802757,0.02211374
5xZtUAVUVfjBtVtMOgMkyy,0.705,0.781,2,-2.927,1,0.0792,0.247,0,0.107,0.55,100.008,263173,4,6.534591406,0.025232917
7EKTo6rVJ3XSS7QTd6ep2j,0.764,0.694,11,-5.745,0,0.189,0.0439,3.67E-06,0.18,0.581,146.075,223933,4,8.291675906,0.019777444
4kflIGfjdZJW4ot2ioixTB,0.559,0.33,9,-8.251,1,0.0285,0.892,0,0.0975,0.285,135.109,285040,4,11.63202969,0.124215388
6OtCIsQZ64Vs1EbzztvAv4,0.636,0.699,6,-7.687,1,0.0551,0.0929,0,0.115,0.637,94.966,253307,4,12.03655011,0.014445998
1ExfPZEiahqhLyajhybFeS,0.738,0.804,11,-3.851,1,0.0621,0.332,0,0.279,0.949,174.943,190213,4,14.36412622,0.018713653
38iU2jg98IZZEIJPrP7aWD,0.693,0.705,8,-5.747,1,0.0665,0.0228,0,0.202,0.45,131.951,237947,4,10.93138003,0.021627373
4NTWZqvfQTlOMitlVn6tew,0.591,0.889,7,-3.839,1,0.115,0.0189,0,0.155,0.65,143.067,239613,4,17.61376721,0.024063197
0JNdS1n0ifOP25XvhwAMgM,0.581,0.772,9,-6.544,1,0.0401,0.000343,0.0191,0.11,0.361,127.952,320587,4,16.70140351,0.041974878
5jaz6aiRknA63NIYWdbr2O,0.739,0.818,8,-5.062,1,0.0418,0.008,0.00504,0.164,0.713,119.982,204827,4,13.69209742,0.023314597
5A6OHHy73AR5tLxgTc98zz,0.684,0.834,2,-4.524,0,0.0675,0.0646,0,0.271,0.538,164.02,217667,4,11.95464919,0.018235259
2i0AUcEnsDm3dsqLrFWUCq,0.686,0.783,4,-4.977,1,0.119,0.0764,0,0.163,0.814,99.978,200467,4,11.21586119,0.021864487
5FQazQxWUHsJ8QDaXLdFzR,0.752,0.73,11,-3.897,0,0.0412,0.00272,3.62E-05,0.175,0.769,120.032,218825,4,19.80290153,0.019510013
5zpDHEU12zATwLGvozxPw2,0.651,0.671,0,-8.183,1,0.27,0.343,0,0.119,0.161,90.135,303813,4,13.95743928,0.033935233
0qOnSQQF0yzuPWsXrQ9paz,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,210960,4,13.5284779,0.018485274
6Iocm6VMu6bVNYwiDoyQFW,0.353,0.822,7,-1.866,1,0.232,0.155,0,0.332,0.237,167.905,238693,4,15.14072348,0.022561189
6jAsmDJI8iPhGWtS27kZ67,0.78,0.714,11,-4.155,0,0.0382,0.119,4.10E-06,0.217,0.666,125.924,235520,4,18.4194295,0.100536901
4wCmqSrbyCgxEXROQE6vtV,0.857,0.517,0,-6.972,1,0.0384,0.565,0.000195,0.102,0.754,129.063,244973,4,11.11487334,0.014791009
7a86XRg84qjasly9f6bPSD,0.378,0.638,10,-5.576,1,0.075,0.02,7.66E-05,0.0849,0.735,184.086,250627,4,13.52613516,0.061986875
1LmN9SSHISbtp9LoaR5ZVJ,0.739,0.756,4,-4.828,1,0.0394,0.0136,0,0.37,0.523,110.028,231387,4,11.2084983,0.025725192
7gUpO6td4OOnu0Lf9vhcIV,0.683,0.789,8,-6.132,0,0.0353,0.0283,0.0492,0.112,0.809,120.013,211800,4,9.693599565,0.010645268
1OXfWI3FQMdsKKC6lkvzSx,0.698,0.844,7,-4.549,0,0.067,0.0577,1.69E-05,0.105,0.446,126.937,198467,4,13.31804069,0.059299573
6D60klaHqbCl9ySc8VcRss,0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,221947,4,18.94343126,0.03661209
0385HqYimoTQaHZP17KwG1,0.738,0.776,1,-4.808,1,0.0392,0.0234,0.0018,0.0775,0.608,127.984,215520,4,13.24729966,0.026162499
1LbhI0PgXF5kyJEE88xoUU,0.757,0.717,11,-2.36,0,0.0761,0.117,0,0.247,0.696,125.041,210813,4,15.63162625,0.027889243
3SPDQfj2UfWq6A2NllZnzn,0.729,0.771,4,-2.451,1,0.0725,0.00761,0,0.087,0.873,125.011,198053,4,14.36907372,0.020745068
5Z7ygHQo02SUrFmcgpwsKW,0.624,0.889,5,-3.772,0,0.0504,0.101,0,0.227,0.45,127.019,233688,4,13.09818558,0.031020983
3CKCZ9pfwAfoMZlMncA1Nc,0.61,0.683,2,-3.879,0,0.0253,0.00382,1.79E-06,0.125,0.466,108.003,241693,4,10.9228788,0.075454468
0obBFrPYkSoBJbvHfUIhkv,0.707,0.861,7,-4.225,1,0.316,0.1,0,0.191,0.795,130.021,199480,4,11.86059953,0.013086843
6t6oULCRS6hnI7rm0h5gwl,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75E-05,0.0927,0.392,107.938,277040,4,18.08200257,0.042075609
5JLv62qFIS1DR3zGEcApRt,0.514,0.683,5,-5.099,1,0.0367,0.0749,2.64E-06,0.392,0.575,159.814,220947,4,14.92133691,0.034053738
3NcO4jGK1Opb5ea0mYLpxb,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248133,4,13.35201477,0.020351587
0ltBH1JNzSvQJPjJpvTu9B,0.754,0.933,0,-5.786,1,0.0448,0.0199,0,0.297,0.75,103.992,225000,4,16.0254655,0.0129484
